edad;peso;talla;sexo;provincia
65;71.9;164.5;HOMBRE;ALICANTE
76;71.4;168;HOMBRE;ALICANTE
73;78.9;167.5;HOMBRE;ALICANTE
69;76;170;HOMBRE;ALICANTE
72;78.8;164.7;HOMBRE;ALICANTE
67;84.1;167.5;HOMBRE;ALICANTE
75;104;178;HOMBRE;ALICANTE
72;80.3;151;HOMBRE;ALICANTE
78;104.5;165;HOMBRE;ALICANTE
66;89.2;154;MUJER;ALICANTE
72;49.8;147;MUJER;ALICANTE
70;85.6;146.5;MUJER;ALICANTE
70;57;145.5;MUJER;ALICANTE
74;66.1;149;MUJER;ALICANTE
67;75.5;148.5;MUJER;ALICANTE
78;68.9;145;MUJER;ALICANTE
71;72.5;161.2;MUJER;ALICANTE
72;65;161.1;MUJER;ALICANTE
66;67.5;154;MUJER;ALICANTE
67;;;MUJER;ALICANTE
79;54.5;140;MUJER;ALICANTE
87;;;MUJER;ALICANTE
69;72.6;158;MUJER;ALICANTE
70;36.8;139;MUJER;ALICANTE
66;58.6;143;MUJER;ALICANTE
74;82.3;153.2;MUJER;ALICANTE
79;58.7;150.3;MUJER;ALICANTE
78;71.3;157;MUJER;ALICANTE
82;46.5;143.5;MUJER;ALICANTE
70;63.5;157;MUJER;ALICANTE
89;60;151;MUJER;ALICANTE
74;56;143;MUJER;ALICANTE
76;80.5;146.5;MUJER;ALICANTE
70;79.4;166;MUJER;ALICANTE
83;68;149;MUJER;ALICANTE
80;72.2;145.3;MUJER;ALICANTE
70;71.3;151.5;MUJER;ALICANTE
76;;;MUJER;ALICANTE
83;81.3;144.5;MUJER;ALICANTE
70;94;151;MUJER;ALICANTE
68;62.8;156;MUJER;ALICANTE
73;62.6;155;MUJER;ALICANTE
76;31.7;148.5;MUJER;ALICANTE
81;57.2;153.5;MUJER;ALICANTE
73;58.8;153.5;MUJER;ALICANTE
72;63;168.2;MUJER;ALICANTE
83;57.5;154;MUJER;ALICANTE
66;64.5;160;MUJER;ALICANTE
68;68.5;162.4;MUJER;ALICANTE
82;69.9;165;MUJER;ALICANTE
65;53.7;139;MUJER;ALICANTE
85;71;154;MUJER;ALICANTE
71;82;164.2;MUJER;ALICANTE
67;69.3;153;MUJER;ALICANTE
69;66.6;153;MUJER;ALICANTE
68;68;150;MUJER;ALICANTE
